IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MS_20161108_GEN_PRE_REP_TRUMP,USA_MS_20161108_GEN_PRE_DEM_CLINTON,USA_MS_20161108_GEN_PRE_LIB_JOHNSON,USA_MS_20161108_GEN_PRE_GRE_STEIN,USA_MS_20161108_GEN_PRE_CON_CASTLE,USA_MS_20161108_GEN_PRE_PRO_HEDGES,USA_MS_20161108_GEN_PRE_DEL_FUENTE
0,_011,_Scott,_28011000105,72,77,0,0,0,0,0
0,_011,_Stringtown,_28011000106,32,4,0,0,0,0,0
0,_011,_East Rosedale,_28011000107,33,492,0,1,2,1,0
0,_011,_Winstonville,_28011000108,9,205,1,0,0,0,0
0,_011,_Beulah,_28011000109,19,154,0,0,0,0,0
0,_011,_Longshot,_28011000110,63,22,0,0,0,0,0
0,_011,_East Central Cleveland,_28011000201,4,418,1,0,1,0,0
0,_011,_Northwest Cleveland,_28011000202,685,117,11,3,0,0,1
0,_011,_West Central Cleveland,_28011000203,656,123,11,7,8,1,1
0,_011,_West Cleveland,_28011000204,1150,214,34,2,2,0,0
0,_011,_Duncan/Alligator,_28011000301,55,174,1,1,1,1,0
0,_011,_Shelby,_28011000302,67,898,3,7,1,2,2
0,_011,_Mound Bayou,_28011000303,74,1004,4,2,3,0,0
0,_011,_Merigold,_28011000401,141,157,1,1,0,0,0
0,_011,_East Cleveland,_28011000402,29,921,2,2,3,2,1
0,_011,_North Cleveland,_28011000403,85,364,6,1,1,0,0
0,_011,_Renova,_28011000404,14,231,1,1,0,0,0
0,_011,_Eastgate,_28011000405,38,499,0,0,0,0,0
0,_011,_Cleveland Courthouse,_28011000406,161,60,9,4,2,0,0
0,_011,_Boyle,_28011000501,506,177,4,1,2,1,1
0,_011,_Skene,_28011000502,189,8,2,0,0,0,0
0,_011,_Shaw,_28011000503,146,880,3,1,2,1,0
0,_011,_Choctaw,_28011000504,27,125,1,1,0,0,0
0,_011,_South Cleveland,_28011000505,47,824,1,3,0,1,0
0,_013,_Banner,_28013000001,347,38,6,1,0,0,0
0,_013,_Bruce 3,_28013000002,695,213,9,1,0,0,1
0,_013,_NE Calhoun,_28013000003,634,92,6,3,3,0,0
0,_013,_Pittsboro 1,_28013000004,86,425,8,4,1,0,0
0,_013,_Calhoun City 1,_28013000005,313,380,5,1,4,0,1
0,_013,_Pittsboro 2,_28013000006,420,142,2,0,3,5,0
0,_013,_Vardaman,_28013000007,463,210,7,1,5,0,1
0,_013,_Derma 5,_28013000008,371,90,3,0,1,0,0
0,_013,_Calhoun City 4,_28013000009,775,246,2,0,7,0,2
0,_013,_Derma 4,_28013000010,286,74,1,0,2,0,0
0,_015,_Ray's Shop,_28015000101,721,62,2,0,0,0,1
0,_015,_Jefferson,_28015000102,152,26,1,0,1,0,0
0,_015,_Calvary,_28015000103,161,3,0,0,0,0,0
0,_015,_North Carrollton,_28015000104,368,71,4,0,1,0,0
0,_015,_McCarley,_28015000105,232,135,1,1,0,0,1
0,_015,_Carrollton,_28015000106,306,58,4,0,2,0,0
0,_015,_West Carroll,_28015000107,350,27,2,2,1,0,0
0,_015,_Fire Tower,_28015000108,219,437,6,2,0,1,0
0,_015,_Gravel Hill,_28015000109,429,42,3,0,0,0,0
0,_015,_Black Hawk,_28015000110,198,67,1,1,0,1,0
0,_015,_430 School,_28015000111,89,168,0,0,1,0,1
0,_015,_Salem,_28015000112,71,147,0,0,0,0,0
0,_015,_West Vaiden,_28015000113,198,169,1,1,0,0,0
0,_015,_East Vaiden,_28015000114,305,268,4,2,0,0,0
0,_017,_South Houlka,_28017000101,339,121,4,0,2,1,0
0,_017,_North Houlka,_28017000102,117,177,0,1,2,1,1
0,_017,_Van Vleet,_28017000103,169,116,5,0,1,0,1
0,_017,_North Okolona,_28017000104,252,281,5,0,0,1,1
0,_017,_West Okolona,_28017000105,306,354,3,2,0,1,1
0,_017,_East Okolona,_28017000106,70,657,2,2,1,2,0
0,_017,_Egypt,_28017000107,130,228,4,0,2,1,0
0,_017,_Buena Vista,_28017000108,105,377,2,1,3,1,0
0,_017,_Southeast Houston,_28017000109,970,229,4,1,3,1,0
0,_017,_Northwest Houston,_28017000111,194,670,7,0,2,0,1
0,_017,_Pleasant Grove,_28017000112,485,47,8,2,4,0,0
0,_017,_Anchor,_28017000113,472,122,8,3,3,1,0
0,_017,_Pearsall,_28017000114,248,79,4,0,1,0,0
0,_017,_Sparta,_28017000115,152,63,5,0,1,0,0
0,_017,_Woodland,_28017000116,118,128,0,0,0,0,1
0,_019,_Panhandle,_28019000001,128,82,2,2,1,0,1
0,_019,_East Weir,_28019000002,77,219,3,2,1,0,0
0,_019,_District 5,_28019000003,706,147,4,3,6,0,0
0,_019,_SW Ackerman,_28019000004,51,262,0,0,0,0,2
0,_019,_Fentress,_28019000005,196,67,4,0,0,0,0
0,_019,_West Weir,_28019000006,174,99,3,0,0,0,1
0,_019,_French Camp,_28019000007,240,57,6,0,0,2,0
0,_019,_Kenego,_28019000008,223,17,0,0,1,0,0
0,_019,_Chester,_28019000009,180,74,0,0,0,0,1
0,_019,_Byway,_28019000010,144,58,0,2,1,1,0
0,_019,_Hebron,_28019000011,161,21,1,1,1,0,1
0,_019,_Sherwood,_28019000012,311,15,2,1,0,0,0
0,_019,_Reform,_28019000013,197,100,1,1,1,0,0
0,_021,_District 1A,_28021000101,90,544,4,0,0,0,0
0,_021,_District 1B,_28021000103,4,295,1,2,0,0,0
0,_021,_District 2A,_28021000201,71,417,0,0,2,1,1
0,_021,_District 2B,_28021000202,26,221,0,0,0,0,0
0,_021,_District 3A,_28021000301,150,670,2,1,1,1,0
0,_021,_District 3B,_28021000302,27,12,0,0,0,0,0
0,_021,_District 4A,_28021000401,63,340,0,0,0,0,0
0,_021,_District 4B,_28021000402,47,401,0,1,0,0,0
0,_021,_District 5A,_28021000501,23,406,0,0,3,0,3
0,_021,_District 5B,_28021000502,39,402,0,1,0,0,0
0,_023,_South Quitman,_28023000101,254,402,1,4,4,1,0
0,_023,_Desoto,_28023000102,116,125,0,0,1,0,0
0,_023,_Harmony Beat 1,_28023000103,83,42,0,0,0,0,0
0,_023,_Stonewall Beat 1,_28023000104,98,218,1,0,0,0,0
0,_023,_Langsdale,_28023000105,15,36,0,0,0,0,0
0,_023,_Pachuta,_28023000202,83,163,1,0,1,0,0
0,_023,_Oakgrove,_28023000204,35,216,1,0,1,0,0
0,_023,_Shubuta,_28023000205,97,400,4,0,0,0,0
0,_023,_Beaverdam,_28023000206,61,140,0,0,1,0,0
0,_023,_Enterprise,_28023000301,956,195,4,0,2,0,0
0,_023,_Stonewall Beat 3,_28023000303,322,69,3,0,2,0,1
0,_023,_Harmony Beat 2,_28023000304,166,105,1,1,0,0,0
0,_023,_Souinlovie,_28023000305,145,24,2,1,1,0,0
0,_023,_Union,_28023000401,547,35,2,1,0,0,0
0,_023,_Energy,_28023000402,178,12,1,0,0,0,0
0,_023,_Snell,_28023000403,152,2,0,0,0,0,0
0,_023,_Hopewell,_28023000404,55,74,1,0,0,0,1
0,_023,_North Quitman,_28023000405,246,70,2,0,1,0,1
0,_023,_Rolling Creek,_28023000406,189,18,0,0,0,0,0
0,_023,_Manassa,_28023000501,100,6,0,0,0,0,0
0,_023,_Springs,_28023000502,60,70,0,0,0,0,0
0,_023,_East Quitman,_28023000503,1018,96,4,8,6,0,0
0,_023,_Carmichael,_28023000504,161,67,1,0,1,0,0
0,_025,_Vinton,_28025000101,201,277,4,0,0,1,0
0,_025,_North West Point,_28025000102,562,756,6,5,8,0,1
0,_025,_Union Star,_28025000201,221,284,6,1,1,0,0
0,_025,_Tibbee,_28025000202,119,179,3,0,1,1,1
0,_025,_East West Point,_28025000203,874,504,16,0,4,4,0
0,_025,_Siloam,_28025000301,501,294,1,1,0,0,2
0,_025,_Central West Point,_28025000302,360,473,15,1,1,0,0
0,_025,_Cairo,_28025000303,172,159,1,0,0,0,0
0,_025,_Caradine,_28025000401,88,544,0,0,4,0,0
0,_025,_West West Point,_28025000403,294,948,3,3,3,2,1
0,_025,_South West Point,_28025000501,301,745,6,7,2,0,2
0,_025,_Cedar Bluff,_28025000502,163,23,3,0,0,0,0
0,_025,_Pheba,_28025000503,223,248,2,2,0,1,1
0,_025,_Pine Bluff,_28025000504,71,288,3,0,1,0,0
0,_027,_Lula,_28027000001,119,131,1,0,2,0,0
0,_027,_Coahoma,_28027000002,18,191,2,0,0,0,0
0,_027,_Friar's Point,_28027000003,47,485,1,1,2,0,0
0,_027,_Jonestown,_28027000004,10,609,1,0,1,0,0
0,_027,_Lyon,_28027000005,588,313,11,0,1,1,0
0,_027,_Farrell,_28027000006,20,130,0,0,0,0,0
0,_027,_Sherard,_28027000007,10,19,0,1,0,0,0
