IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OR_20161108_GEN_PRE_DEM_CLINTON,USA_OR_20161108_GEN_PRE_REP_TRUMP,USA_OR_20161108_GEN_PRE_LIB_JOHNSON,USA_OR_20161108_GEN_PRE_GRE_STEIN,USA_OR_20161108_GEN_PRE_OTH_WRITEIN,USA_OR_20161108_GEN_USS_DEM_WYDEN,USA_OR_20161108_GEN_USS_REP_CALLAHAN,USA_OR_20161108_GEN_USS_LIB_LINDSAY,USA_OR_20161108_GEN_USS_GRE_NAVICKAS,USA_OR_20161108_GEN_USS_WOR_LEWALLEN,USA_OR_20161108_GEN_USS_IND_REYNOLDS,USA_OR_20161108_GEN_USS_OTH_WRITEIN,USA_OR_20161108_GEN_GOV_DEM_BROWN,USA_OR_20161108_GEN_GOV_REP_PIERCE,USA_OR_20161108_GEN_GOV_LIB_FOSTER,USA_OR_20161108_GEN_GOV_CON_AUER,USA_OR_20161108_GEN_GOV_IND_THOMASON,USA_OR_20161108_GEN_GOV_OTH_WRITEIN,USA_OR_20161108_GEN_ATG_DEM_ROSENBLUM,USA_OR_20161108_GEN_ATG_REP_CROWE,USA_OR_20161108_GEN_ATG_LIB_HEDBOR,USA_OR_20161108_GEN_ATG_OTH_WRITEIN,USA_OR_20161108_GEN_SOS_DEM_AVAKIAN,USA_OR_20161108_GEN_SOS_REP_RECHARDSON,USA_OR_20161108_GEN_SOS_LIB_DURBIN,USA_OR_20161108_GEN_SOS_GRE_ZUNDEL,USA_OR_20161108_GEN_SOS_CON_MARSH,USA_OR_20161108_GEN_SOS_IND_WELLS,USA_OR_20161108_GEN_SOS_OTH_WRITEIN,USA_OR_20161108_GEN_TRE_DEM_READ,USA_OR_20161108_GEN_TRE_REP_GUDMAN,USA_OR_20161108_GEN_TRE_PRO_HENRY,USA_OR_20161108_GEN_TRE_IND_TELFER,USA_OR_20161108_GEN_TRE_OTH_WRITEIN
0,_Umatilla,_Pilot Rock City,_113,97,452,36,10,12,206,324,10,2,19,30,3,120,435,21,6,16,0,141,392,19,2,93,429,19,4,9,27,1,108,386,10,54,3
0,_Umatilla,_Pilot Rock Outside,_114,53,278,8,5,6,128,212,2,3,3,1,0,61,275,3,1,6,0,70,254,2,0,50,283,4,1,3,2,0,48,255,5,23,0
0,_Umatilla,_Pendleton Outside,_115,38,175,5,1,6,90,120,0,1,5,6,0,50,163,1,4,4,0,53,156,2,0,33,169,9,0,1,6,0,36,156,5,14,0
0,_Umatilla,_Athena Outside,_116,39,88,7,3,6,56,69,2,3,5,6,0,47,88,1,3,3,0,59,76,1,0,35,91,3,2,2,4,1,33,77,8,14,1
0,_Umatilla,_Ukiah City,_117C,20,62,4,1,0,30,51,1,0,0,4,0,18,53,2,3,7,1,26,56,1,1,19,58,0,1,1,4,0,19,53,1,11,0
0,_Umatilla,_Ukiah Outside,_117R,6,17,0,0,0,9,14,0,0,0,0,0,7,15,0,0,1,0,7,15,0,0,5,17,0,0,0,1,0,6,12,0,4,0
0,_Umatilla,_Umapine,_119,36,88,5,3,1,43,76,0,1,5,4,0,38,87,3,2,1,0,36,88,3,1,30,88,2,1,3,3,0,31,83,3,9,0
0,_Umatilla,_Milton-Freewater Outside,_120,187,698,47,12,23,274,573,12,11,27,48,0,222,665,16,11,28,0,231,647,24,0,156,684,24,7,7,43,0,175,650,18,65,0
0,_Umatilla,_Milton-Freewater Outside,_121,83,298,24,6,12,136,240,9,2,14,21,0,100,274,15,13,13,0,112,278,15,1,67,291,12,7,5,27,2,74,280,10,42,0
0,_Umatilla,_Milton-Freewater Outside,_123,130,400,29,8,14,192,326,8,9,17,14,0,147,380,16,8,9,1,158,371,15,0,118,389,10,5,3,33,0,125,356,14,49,0
0,_Umatilla,_Athena City,_124C,137,401,26,4,16,218,311,6,5,14,23,1,155,383,13,6,12,2,173,367,12,1,104,417,10,7,9,19,1,112,380,18,49,1
0,_Umatilla,_Athena Outside,_124R,21,127,5,3,2,51,99,1,0,3,2,0,23,129,0,1,2,0,29,113,3,0,18,121,1,0,2,8,0,18,109,1,19,0
0,_Umatilla,_Weston City,_125C,73,192,19,3,3,110,144,3,4,8,14,0,88,171,5,9,6,0,88,171,4,0,64,182,4,9,6,6,1,61,171,12,21,0
0,_Umatilla,_Weston Outside,_125R,38,182,8,5,6,60,151,4,1,9,14,0,43,168,6,10,9,0,50,168,3,1,33,167,4,5,9,10,1,28,157,10,30,1
0,_Umatilla,_Hermiston City,_126,369,524,67,16,34,470,392,9,8,51,44,0,415,478,22,12,47,2,431,454,33,0,333,492,29,12,13,58,1,323,454,36,98,2
0,_Umatilla,_Hermiston City,_127,142,278,38,18,21,219,208,6,9,21,20,0,162,277,12,10,20,0,168,265,16,0,113,298,10,11,7,26,0,127,239,29,54,0
0,_Umatilla,_Hermiston City,_128,474,793,84,25,51,583,626,18,27,56,55,4,478,764,31,25,55,4,524,722,45,1,398,773,38,24,23,69,0,431,703,54,123,0
0,_Umatilla,_Hermiston City,_129,264,515,57,23,45,343,401,19,13,50,35,0,301,473,25,25,36,2,316,467,30,1,249,490,26,9,17,42,1,238,471,36,75,1
0,_Umatilla,_Hermiston City,_130,376,822,90,22,71,571,628,24,17,44,52,2,438,800,43,15,42,1,450,768,51,3,352,823,38,17,13,46,3,339,772,51,114,1
0,_Umatilla,_Milton-Freewater City,_131,133,244,21,9,18,155,198,4,9,22,27,1,158,218,10,6,20,1,151,233,11,0,117,234,11,6,7,25,1,115,229,15,39,0
0,_Umatilla,_Milton-Freewater City,_132,263,401,47,14,26,304,350,7,12,32,26,0,281,398,18,13,20,0,281,394,17,0,228,420,20,11,7,26,0,225,385,26,60,0
0,_Umatilla,_Milton-Freewater City,_133,209,304,44,21,17,241,241,12,18,31,34,1,233,277,22,18,23,1,233,274,28,2,184,302,19,10,10,34,1,182,266,28,63,2
0,_Umatilla,_Pendleton City,_136,220,463,52,29,35,345,315,18,19,31,42,1,279,423,19,15,31,0,303,368,32,1,190,431,25,21,10,40,0,189,384,43,95,0
0,_Umatilla,_Pendleton City,_137,348,578,53,32,34,520,372,21,20,35,55,1,401,530,34,22,34,3,425,485,52,3,298,551,41,21,9,57,1,290,487,61,116,1
0,_Umatilla,_Pendleton City,_138,347,552,57,20,40,510,381,22,10,35,24,3,376,548,27,19,17,5,389,486,32,4,270,580,33,19,15,27,2,296,496,35,84,3
0,_Umatilla,_Pendleton City,_139,406,481,52,15,29,546,367,9,7,18,24,1,413,514,18,13,12,1,445,448,20,0,319,543,17,9,9,30,0,346,454,29,68,1
0,_Umatilla,_Pendleton City,_141,363,673,53,17,39,546,484,21,16,23,31,0,389,676,21,8,25,2,425,585,25,2,281,708,23,14,9,31,0,310,613,32,75,1
0,_Umatilla,_Pendleton City,_142,193,393,31,7,19,317,271,8,3,7,19,0,207,388,14,3,10,0,209,339,19,1,140,396,18,5,4,22,0,164,341,12,45,1
0,_Umatilla,_Pendleton City,_143,302,548,58,19,31,435,404,12,7,38,36,1,331,521,24,15,39,3,351,476,35,1,243,545,21,17,14,54,2,253,480,36,99,2
0,_Union,_La Grande City 1,_01,903,918,96,40,100,1093,744,15,45,51,67,3,880,1004,52,24,43,3,929,913,49,1,743,1008,37,44,18,79,2,733,882,86,177,2
0,_Union,_La Grande City 2,_02,551,1080,103,35,61,788,816,17,27,57,66,2,564,1095,43,25,55,1,581,985,69,3,454,1064,47,24,35,74,5,477,961,66,141,4
0,_Union,_La Grande City 3,_03,443,1112,107,31,61,771,763,30,25,49,71,3,499,1092,50,24,55,1,617,936,53,4,416,1053,58,22,26,83,1,463,930,68,164,2
0,_Union,_La Grande Rural 4,_04,92,221,24,3,12,162,170,0,2,4,10,0,85,243,6,1,8,0,98,210,9,0,75,241,7,3,0,11,0,72,204,16,32,0
0,_Union,_La Grande Rural 5,_05,234,787,42,12,31,431,595,7,9,15,25,0,250,789,11,16,17,3,282,716,28,0,188,776,28,12,11,45,0,211,725,23,70,1
