IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KY_20201103_GEN_PRE_REP_TRUMP,USA_KY_20201103_GEN_PRE_DEM_BIDEN,USA_KY_20201103_GEN_PRE_LIB_JORGENSEN,USA_KY_20201103_GEN_PRE_IND_WEST,USA_KY_20201103_GEN_PRE_IND_PIERCE,USA_KY_20201103_GEN_USS_REP_MCCONNELL,USA_KY_20201103_GEN_USS_DEM_MCGRATH,USA_KY_20201103_GEN_USS_LIB_BARRON
0,_111,_PRECINCT 148 34 DISTRICT,_00G148,108,280,7,2,0,104,283,12
0,_111,_PRECINCT 148 35 DISTRICT,_00H148,380,321,10,2,2,345,342,33
0,_111,_PRECINCT 148 37 DISTRICT,_00I148,249,345,11,4,2,231,349,30
0,_111,_PRECINCT 148 38 DISTRICT,_00J148,270,447,8,6,2,239,474,20
0,_111,_PRECINCT 148 40 DISTRICT,_00K148,217,284,8,3,0,194,294,22
0,_111,_PRECINCT 148 41 DISTRICT,_00L148,13,207,1,4,1,12,205,6
0,_111,_PRECINCT 148 42 DISTRICT,_00M148,5,465,1,4,0,6,467,2
0,_111,_PRECINCT 148 43 DISTRICT,_00N148,6,283,3,2,1,5,282,5
0,_111,_PRECINCT 149 29 DISTRICT,_00B149,364,263,14,0,1,332,274,35
0,_111,_PRECINCT 149 30 DISTRICT,_00C149,11,1,0,0,1,10,1,1
0,_111,_PRECINCT 149 34 DISTRICT,_00G149,109,295,2,2,0,115,290,5
0,_111,_PRECINCT 149 37 DISTRICT,_00I149,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 149 38 DISTRICT,_00J149,192,391,5,2,4,173,402,19
0,_111,_PRECINCT 149 40 DISTRICT,_00K149,3,0,0,0,0,3,0,0
0,_111,_PRECINCT 149 41 DISTRICT,_00L149,0,22,0,0,0,0,21,1
0,_111,_PRECINCT 149 42 DISTRICT,_00M149,184,296,2,4,1,165,307,16
0,_111,_PRECINCT 149 43 DISTRICT,_00N149,1,117,0,1,0,1,118,0
0,_111,_PRECINCT 150 30 DISTRICT,_00C150,5,7,0,0,0,5,7,0
0,_111,_PRECINCT 150 34 DISTRICT,_00G150,157,205,5,5,1,171,207,6
0,_111,_PRECINCT 150 35 DISTRICT,_00H150,3,0,0,0,0,3,0,0
0,_111,_PRECINCT 150 37 DISTRICT,_00I150,28,54,0,0,0,26,55,1
0,_111,_PRECINCT 150 38 DISTRICT,_00J150,174,265,3,1,0,167,268,10
0,_111,_PRECINCT 150 40 DISTRICT,_00K150,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 150 41 DISTRICT,_00L150,1,42,0,0,0,2,41,0
0,_111,_PRECINCT 150 42 DISTRICT,_00M150,79,250,6,2,1,77,255,7
0,_111,_PRECINCT 150 43 DISTRICT,_00N150,0,19,0,0,0,0,19,0
0,_111,_PRECINCT 150 48 DISTRICT,_00S150,573,499,10,0,2,603,482,11
0,_111,_PRECINCT 151 29 DISTRICT,_00B151,623,570,19,3,7,613,580,33
0,_111,_PRECINCT 151 30 DISTRICT,_00C151,6,15,0,0,0,4,15,1
0,_111,_PRECINCT 151 33 DISTRICT,_00F151,590,597,12,5,2,608,583,18
0,_111,_PRECINCT 151 34 DISTRICT,_00G151,131,289,9,6,0,135,289,12
0,_111,_PRECINCT 151 35 DISTRICT,_00H151,2,0,0,0,0,2,0,0
0,_111,_PRECINCT 151 37 DISTRICT,_00I151,373,451,10,9,3,338,469,37
0,_111,_PRECINCT 151 38 DISTRICT,_00J151,7,11,0,0,0,8,10,0
0,_111,_PRECINCT 151 40 DISTRICT,_00K151,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 151 41 DISTRICT,_00L151,235,362,5,2,1,236,352,15
