IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MI_20201103_GEN_PRE_DEM_BIDEN,USA_MI_20201103_GEN_PRE_REP_TRUMP,USA_MI_20201103_GEN_PRE_LIB_JORGENSEN,USA_MI_20201103_GEN_PRE_TAX_BLANKENSHIP,USA_MI_20201103_GEN_PRE_GRE_HAWKINS,USA_MI_20201103_GEN_PRE_NAT_FUENTE,USA_MI_20201103_GEN_USS_DEM_PETERS,USA_MI_20201103_GEN_USS_REP_JAMES,USA_MI_20201103_GEN_USS_TAX_WILLIS,USA_MI_20201103_GEN_USS_GRE_SQUIER,USA_MI_20201103_GEN_USS_NAT_DERN
0,_Alma City,"_Alma City, Precinct 2",_Alma 2,623,674,21,2,8,1,609,667,14,20,7
0,_Alma City,"_Alma City, Precinct 3",_Alma 3,568,681,19,3,8,1,575,660,21,7,5
0,_Almena Township,"_Almena Township, Precinct 1",_Almena Twp 1,876,1079,32,3,1,0,821,1108,25,17,5
0,_Almena Township,"_Almena Township, Precinct 2",_Almena Twp 2,625,734,14,1,2,0,586,756,10,7,5
0,_Almer Township,"_Almer Township, Precinct 1",_Almer Twp 1,352,735,17,4,6,0,371,707,9,12,2
0,_Almira Township,"_Almira Township, Precinct 1",_Almira Twp 1,1064,1427,32,0,6,3,1030,1453,13,15,3
0,_Almont Township,"_Almont Township, Precinct 1",_Almont Twp 1,498,1282,19,1,4,1,495,1246,18,11,9
0,_Almont Township,"_Almont Township, Precinct 2",_Almont Twp 2,694,1694,20,1,5,2,709,1635,14,9,6
0,_Aloha Township,"_Aloha Township, Precinct 1",_Aloha Twp 1,219,428,9,0,1,1,215,425,7,5,0
0,_Alpena City,"_Alpena City, Precinct 1",_Alpena 1,591,837,42,2,3,1,612,788,24,16,6
0,_Alpena City,"_Alpena City, Precinct 3",_Alpena 3,406,484,14,0,2,0,403,478,4,12,2
0,_Alpena City,"_Alpena City, Precinct 4",_Alpena 4,400,556,5,1,2,1,426,520,6,3,1
0,_Alpena City,"_Alpena City, Precinct 5",_Alpena 5,473,487,20,1,0,1,464,497,4,5,3
0,_Alpena City,"_Alpena City, Precinct 6",_Alpena 6,469,572,11,4,5,0,459,573,9,8,2
0,_Alpena Township,"_Alpena Township, Precinct 1",_Alpena Twp 1,338,695,11,0,2,0,356,672,7,2,2
0,_Alpena Township,"_Alpena Township, Precinct 2",_Alpena Twp 2,523,822,13,3,0,0,534,790,18,2,2
0,_Alpena Township,"_Alpena Township, Precinct 3",_Alpena Twp 3,577,734,20,4,2,0,576,736,4,5,3
0,_Alpena Township,"_Alpena Township, Precinct 4",_Alpena Twp 4,303,477,6,0,1,1,318,439,4,5,3
0,_Alpena Township,"_Alpena Township, Precinct 5",_Alpena Twp 5,423,711,17,1,2,1,436,701,6,6,1
0,_Alpine Township,"_Alpine Township, Precinct 1",_Alpine Twp 1,337,511,17,1,1,0,333,509,12,6,1
0,_Alpine Township,"_Alpine Township, Precinct 2",_Alpine Twp 2,507,472,13,0,1,2,477,482,12,7,2
0,_Alpine Township,"_Alpine Township, Precinct 3",_Alpine Twp 3,910,898,30,1,4,1,835,942,16,21,7
0,_Alpine Township,"_Alpine Township, Precinct 4",_Alpine Twp 4,636,937,12,3,0,3,610,923,17,15,3
0,_Alpine Township,"_Alpine Township, Precinct 5",_Alpine Twp 5,274,555,8,2,1,0,268,552,8,4,4
