IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_WY_20201103_GEN_PRE_REP_TRUMP,USA_WY_20201103_GEN_PRE_DEM_BIDEN,USA_WY_20201103_GEN_PRE_LIB_JORGENSEN,USA_WY_20201103_GEN_PRE_IND_PIERCE,USA_WY_20201103_GEN_PRE_OTH_WRITEIN,USA_WY_20201103_GEN_USS_REP_LUMMIS,USA_WY_20201103_GEN_USS_DEM_DAVID,USA_WY_20201103_GEN_USS_OTH_WRITEIN,USA_WY_20201103_GEN_HAL_REP_CHENEY,USA_WY_20201103_GEN_HAL_DEM_BULL,USA_WY_20201103_GEN_HAL_LIB_BRUBAKER,USA_WY_20201103_GEN_HAL_CON_HAGGIT,USA_WY_20201103_GEN_HAL_OTH_WRITEIN
0,_039,_1-6,_0001-6,249,637,22,9,7,290,608,3,275,569,32,12,0
0,_039,_1-7,_0001-7,191,573,11,4,3,248,527,0,247,517,8,3,0
0,_039,_1-8,_0001-8,243,714,14,6,4,292,670,1,269,650,25,10,3
0,_039,_1-9,_0001-9,281,790,22,7,9,338,743,3,295,727,40,13,4
0,_039,_2-1,_0002-1,436,661,23,7,13,533,592,3,534,566,22,4,2
0,_039,_3-1,_0003-1,149,233,10,1,1,169,219,0,168,207,9,3,0
0,_039,_4-1,_0004-1,187,566,16,2,6,249,507,1,234,490,23,6,0
0,_039,_4-2,_0004-2,360,797,18,3,16,457,725,2,467,674,25,8,0
0,_039,_4-3,_0004-3,120,576,10,5,6,154,548,2,163,523,16,3,0
0,_039,_4-4,_0004-4,148,298,18,1,11,214,248,4,206,238,12,2,0
0,_039,_5-1,_0005-1,178,174,6,3,5,201,162,0,196,151,9,4,1
0,_039,_1-10,_001-10,450,501,11,9,5,506,454,1,479,430,29,15,0
0,_039,_1-11,_001-11,50,128,3,3,1,62,117,0,59,116,4,2,0
0,_041,_WEST EVANSTON,_000101,1251,433,35,20,13,1285,420,6,1183,381,68,61,3
0,_041,_SOUTH EVANSTON,_000102,1458,397,30,14,16,1496,373,4,1389,354,48,57,3
0,_041,_NORTH EVANSTON,_000103,654,168,19,8,2,654,173,1,593,163,30,30,2
0,_041,_CENTRAL EVANSTON,_000104,292,104,7,4,3,290,102,0,258,102,11,15,1
0,_041,_ALMY HILLIARD,_000201,790,105,15,4,10,792,114,2,747,106,20,32,1
0,_041,_Bear River Town,_000202,229,38,2,7,2,229,37,3,205,37,6,17,1
0,_041,_LYMAN TOWN,_000301,807,84,20,9,7,823,93,2,680,99,31,101,1
0,_041,_LYMAN RURAL,_000302,590,60,9,5,2,570,73,4,502,72,17,54,1
0,_041,_FT. BRIDGER,_000401,901,125,18,3,6,888,134,2,783,133,20,80,0
0,_041,_MT. VIEW TOWN,_000402,524,77,17,5,3,523,78,1,441,74,18,75,1
0,_043,_TEN SLEEP,_000301,415,61,13,8,2,417,71,1,396,58,23,13,0
0,_043,_WORLAND NORTH,_000501,685,140,15,8,4,707,131,3,649,129,30,28,1
0,_043,_WORLAND SOUTH,_000502,692,186,16,10,7,706,192,4,660,174,21,37,2
0,_043,_WORLAND WEST,_000503,420,103,11,4,1,415,114,0,378,100,35,20,0
0,_043,_WORLAND RURAL,_000505,1033,161,10,2,5,1032,151,4,980,138,34,28,6
0,_045,_NEWCASTLE RURAL OUTSIDE,_000101,588,53,4,6,0,570,65,0,517,65,14,30,1
0,_045,_Northwest,_000102,429,62,3,3,1,430,59,1,403,58,3,23,0
0,_045,_OSAGE,_000201,151,7,1,1,0,134,18,2,126,11,4,9,2
0,_045,_UPTON OUTSIDE,_000301,288,10,2,0,0,268,18,1,246,20,2,12,0
0,_045,_UPTON INSIDE,_000401,466,28,4,1,2,458,30,1,406,48,9,23,0
0,_045,_NEWCASTLE EAST,_000501,390,70,11,6,3,397,71,0,360,63,13,30,0
0,_045,_NEWCASTLE NORTH,_000502,376,67,10,1,0,381,59,0,333,62,14,30,0
0,_045,_NEWCASTLE SOUTH,_000503,419,63,11,2,3,403,80,2,369,75,13,23,1
