IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_SC_20161108_GEN_PRE_REP_TRUMP,USA_SC_20161108_GEN_PRE_DEM_CLINTON,USA_SC_20161108_GEN_PRE_LIB_JOHNSON,USA_SC_20161108_GEN_PRE_GRE_STEIN,USA_SC_20161108_GEN_PRE_IND_MCMULLIN,USA_SC_20161108_GEN_PRE_CON_CASTLE,USA_SC_20161108_GEN_PRE_AME_SKEWES,USA_SC_20161108_GEN_USS_REP_SCOTT,USA_SC_20161108_GEN_USS_DEM_DIXON,USA_SC_20161108_GEN_USS_LIB_BLEDSOE,USA_SC_20161108_GEN_USS_AME_SCARBOROUGH,USA_SC_20161108_GEN_USS_OTH_WRITEIN
0,_019,_James Island 19,_419,466,554,75,12,9,0,1,605,455,19,11,4
0,_019,_James Island 20,_420,459,550,54,22,13,4,1,593,461,22,3,4
0,_019,_James Island 22,_422,419,550,67,17,16,3,0,607,406,34,6,0
0,_019,_Johns Island 1A,_440,685,360,16,11,11,3,3,752,298,11,4,0
0,_019,_Johns Island 1B,_441,385,588,28,12,7,0,0,430,531,20,9,0
0,_019,_Johns Island 2,_442,1307,1096,146,21,30,10,2,1683,812,40,14,2
0,_019,_Johns Island 3A,_443,1040,734,94,26,19,4,2,1229,566,55,15,4
0,_019,_Johns Island 3B,_444,555,599,21,5,9,9,1,646,509,6,3,0
0,_019,_Johns Island 4,_445,311,389,20,6,13,4,3,346,356,16,3,1
0,_019,_St. Pauls 1,_460,178,585,11,0,5,0,1,205,546,1,5,0
0,_019,_St. Pauls 2A,_461,243,397,4,0,3,0,1,252,380,3,6,0
0,_019,_St. Pauls 2B,_462,356,577,15,2,5,4,1,399,515,10,4,0
0,_019,_St. Pauls 3,_463,921,429,31,6,5,4,2,993,327,20,1,0
0,_019,_St. Pauls 4,_464,260,834,11,4,4,4,3,303,775,5,9,0
0,_019,_St. Pauls 5,_465,337,342,11,5,1,3,0,349,307,12,4,0
0,_019,_St. Pauls 6,_466,698,402,20,4,15,0,2,746,333,15,4,0
0,_019,_St. Andrews 1,_501,138,237,13,6,7,3,1,213,185,9,0,0
0,_019,_St. Andrews 2,_502,229,512,60,12,12,0,0,405,367,22,9,1
0,_019,_St. Andrews 3,_503,141,710,28,7,5,1,3,236,623,13,3,1
0,_019,_St. Andrews 4,_504,477,417,51,10,15,3,0,670,248,22,10,4
0,_019,_St. Andrews 5,_505,339,443,36,17,8,0,1,548,265,11,6,3
0,_019,_St. Andrews 6,_506,560,324,57,6,11,1,1,694,230,20,1,0
0,_019,_St. Andrews 7,_507,603,484,64,11,23,4,3,784,367,22,6,0
0,_019,_St. Andrews 8,_508,63,386,16,11,5,0,0,122,341,8,2,0
0,_019,_St. Andrews 9,_509,53,640,13,6,1,1,0,103,589,5,1,0
0,_019,_St. Andrews 10,_510,280,420,32,10,12,3,1,385,344,15,3,0
0,_019,_St. Andrews 11,_511,345,250,34,7,11,1,1,456,159,11,6,0
0,_019,_St. Andrews 12,_512,339,295,55,6,19,3,1,500,184,20,3,0
0,_019,_St. Andrews 13,_513,353,356,39,11,16,0,1,465,273,29,4,0
0,_019,_St. Andrews 14,_514,447,460,51,17,17,3,1,565,375,20,9,1
0,_019,_St. Andrews 15,_515,128,483,25,2,5,3,1,217,407,9,0,0
0,_019,_St. Andrews 16,_516,384,255,44,12,13,0,3,482,193,24,4,0
0,_019,_St. Andrews 17,_517,602,438,57,16,17,3,0,735,358,21,5,3
0,_019,_St. Andrews 18,_518,303,730,34,11,7,3,2,417,622,19,4,2
0,_019,_St. Andrews 19,_519,19,148,4,5,1,1,0,47,130,1,0,1
0,_019,_St. Andrews 20,_520,507,846,55,32,30,7,2,717,713,26,6,3
0,_019,_St. Andrews 21,_521,232,272,30,7,9,4,0,346,194,10,1,0
0,_019,_St. Andrews 22,_522,313,278,34,9,4,1,0,406,193,10,0,3
0,_019,_St. Andrews 23,_523,251,327,32,13,8,6,1,299,306,22,0,0
0,_019,_St. Andrews 24,_524,203,452,26,7,9,1,0,291,376,14,1,1
0,_019,_St. Andrews 25,_525,235,411,46,10,11,4,1,313,363,21,6,1
0,_019,_St. Andrews 26,_526,328,411,49,7,9,1,1,447,338,15,5,1
0,_019,_St. Andrews 27,_527,1024,1125,111,17,36,7,8,1326,889,49,6,2
0,_019,_St. Andrews 28,_528,724,699,76,4,11,7,0,876,569,31,6,0
0,_019,_St. Andrews 29,_529,951,878,117,19,23,9,7,1246,665,45,10,2
0,_019,_St. Andrews 30,_530,446,510,62,18,15,9,3,611,412,26,3,0
