IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ND_20161108_GEN_PRE_REP_TRUMP,USA_ND_20161108_GEN_PRE_DEM_CLINTON,USA_ND_20161108_GEN_PRE_LIB_JOHNSON,USA_ND_20161108_GEN_PRE_GRE_STEIN,USA_ND_20161108_GEN_PRE_CON_CASTLE,USA_ND_20161108_GEN_PRE_DEL_FUENTE,USA_ND_20161108_GEN_PRE_OTH_WRITEIN,USA_ND_20161108_GEN_USS_REP_HOEVEN,USA_ND_20161108_GEN_USS_DEM_GLASSHEIM,USA_ND_20161108_GEN_USS_LIB_MARQUETTE,USA_ND_20161108_GEN_USS_IND_GERMANLIC,USA_ND_20161108_GEN_USS_OTH_WRITEIN,USA_ND_20161108_GEN_HAL_REP_CRAMER,USA_ND_20161108_GEN_HAL_DEM_EYES,USA_ND_20161108_GEN_HAL_LIB_SEAMAN,USA_ND_20161108_GEN_HAL_OTH_WRITEIN,USA_ND_20161108_GEN_GOV_REP_BURGUM,USA_ND_20161108_GEN_GOV_DEM_NELSON,USA_ND_20161108_GEN_GOV_LIB_RISKE,USA_ND_20161108_GEN_GOV_OTH_WRITEIN,USA_ND_20161108_GEN_AUD_REP_GALLION,USA_ND_20161108_GEN_AUD_LIB_RIEMERS,USA_ND_20161108_GEN_AUD_OTH_WRITEIN,USA_ND_20161108_GEN_TRE_REP_SCHMIDT,USA_ND_20161108_GEN_TRE_DEM_MATHERN,USA_ND_20161108_GEN_TRE_LIB_OLSON,USA_ND_20161108_GEN_TRE_OTH_WRITEIN,USA_ND_20161108_GEN_INS_REP_GODFREAD,USA_ND_20161108_GEN_INS_DEM_BUFFALO,USA_ND_20161108_GEN_INS_LIB_BATA,USA_ND_20161108_GEN_INS_OTH_WRITEIN,USA_ND_20161108_GEN_PSC_REP_FEDORCHAK,USA_ND_20161108_GEN_PSC_DEM_HUNTE_BEAUBRUN,USA_ND_20161108_GEN_PSC_LIB_SKADELAND,USA_ND_20161108_GEN_PSC_OTH_WRITEIN
0,_035,_St. Paul's Episcopal Church 10,_St. Paul's Episcopal Church 10,653,628,125,31,10,0,25,853,525,56,14,1,764,553,108,2,853,484,91,1,870,381,19,643,587,130,3,663,553,139,2,669,526,126,3
0,_035,_St. Paul's Episcopal Church 11,_St. Paul's Episcopal Church 11,64,101,10,2,1,0,7,87,85,8,2,0,66,97,13,3,91,78,8,0,99,36,8,67,91,14,1,71,86,12,0,77,77,11,0
0,_035,_Thompson Community Center,_Thompson Community Center,1081,375,88,12,10,0,24,1288,258,34,18,0,1194,306,72,2,1293,241,39,3,1219,250,10,998,430,94,2,1016,346,128,3,1021,321,134,4
0,_035,_UND Wellness Center 21,_UND Wellness Center 21,680,411,88,21,3,2,15,773,265,55,22,1,694,301,80,2,747,240,51,3,633,216,10,560,258,101,4,553,246,87,4,544,237,86,3
0,_035,_UND Wellness Center 22,_UND Wellness Center 22,617,517,103,15,7,0,27,774,387,45,15,1,693,421,82,1,757,369,68,3,751,258,8,571,441,95,5,566,409,113,2,566,389,103,2
0,_035,_Wesley United Church,_Wesley United Church,248,194,30,3,4,2,16,304,160,13,8,0,297,160,24,1,308,135,31,1,291,122,4,216,186,46,1,223,180,39,0,233,159,36,0
0,_037,_Carson,_Carson,117,29,6,0,0,0,1,131,13,5,3,0,130,15,6,0,127,20,3,0,120,20,0,120,19,8,0,113,23,8,0,118,17,9,0
0,_037,_Elgin,_Elgin,238,57,14,2,5,0,2,280,35,4,5,0,263,51,6,1,270,44,6,1,247,49,1,233,60,21,0,233,56,17,1,243,40,20,1
0,_037,_New Leipzig,_New Leipzig,105,16,9,0,0,0,2,123,11,1,0,1,119,10,7,0,123,11,2,0,107,22,0,110,15,7,0,111,15,6,0,112,13,7,0
0,_037,_Rural Grant County,_Rural Grant County,648,83,36,5,1,0,5,717,49,17,11,0,677,77,31,2,689,77,20,1,636,110,0,611,115,41,0,613,90,49,1,632,79,44,0
0,_039,_Precinct 01,_Precinct 01,175,57,26,3,0,1,6,207,42,10,3,1,181,73,11,0,191,66,8,0,190,47,1,156,77,23,1,156,61,33,0,178,49,25,0
0,_039,_Precinct 02,_Precinct 02,189,77,19,1,1,0,1,241,46,6,3,0,215,60,13,2,221,64,7,0,214,52,0,174,88,19,0,181,74,20,0,192,64,16,0
0,_039,_Precinct 03,_Precinct 03,141,57,13,1,0,1,6,185,36,5,0,0,164,47,11,1,168,50,7,0,170,34,1,138,72,10,0,137,65,15,0,140,62,13,0
0,_039,_Precinct 04,_Precinct 04,193,33,16,1,0,0,2,226,18,2,2,0,206,24,14,1,205,34,5,1,187,44,0,169,53,11,1,171,44,16,1,197,29,11,0
0,_039,_Precinct 05,_Precinct 05,149,74,19,0,0,0,3,187,52,5,4,0,150,79,16,0,176,64,6,0,153,62,0,126,94,13,0,126,77,25,0,148,68,16,1
0,_041,_Indian Creek #4,_Indian Creek #4,120,9,8,0,0,0,3,132,3,2,1,0,123,5,8,0,120,13,2,0,118,9,0,114,16,3,0,111,11,8,1,115,8,7,0
0,_041,_Mott #1,_Mott #1,520,84,19,1,6,0,4,563,46,18,8,1,533,52,40,0,526,73,23,1,485,90,1,440,93,64,1,457,69,57,1,480,62,46,1
0,_041,_New England #3,_New England #3,316,64,15,2,2,0,10,361,34,10,6,0,340,49,23,0,355,50,13,0,324,62,0,297,87,17,1,324,42,30,2,313,41,32,2
0,_041,_Regent #2,_Regent #2,94,11,4,2,1,1,0,104,5,0,2,0,93,9,6,0,103,7,1,0,90,13,1,87,11,7,1,92,9,4,1,90,9,5,0
0,_043,_Dawson,_Dawson,118,10,6,0,0,0,1,127,4,5,0,1,122,5,8,0,122,10,4,0,100,28,1,104,13,15,1,111,7,12,1,111,7,15,0
0,_043,_Pettibone,_Pettibone,54,14,5,0,0,0,1,63,10,1,3,0,57,15,2,0,59,15,2,0,53,7,0,46,20,1,0,49,13,5,0,54,12,1,0
0,_043,_Robinson,_Robinson,60,19,6,0,0,0,0,71,12,3,0,0,67,11,4,1,63,21,2,0,59,15,1,56,23,5,0,50,18,9,0,53,16,9,0
0,_043,_Steele,_Steele,534,79,31,3,0,1,5,591,44,24,6,0,556,74,26,0,553,86,17,0,487,110,1,466,114,47,0,469,84,59,1,492,73,50,1
0,_043,_Tappen,_Tappen,265,26,11,2,0,0,2,275,24,7,2,0,270,27,9,0,273,24,10,0,248,33,0,230,42,23,1,238,28,25,0,253,26,17,0
0,_043,_Tuttle,_Tuttle,80,31,5,2,2,0,3,97,23,3,2,0,92,20,9,1,97,22,5,0,90,17,0,77,33,8,0,78,29,10,0,88,23,9,0
0,_045,_Precinct 1,_Precinct 1,260,132,16,2,2,2,5,330,79,9,9,0,270,131,21,0,314,99,12,0,273,89,3,230,158,18,0,234,125,35,0,257,107,27,0
0,_045,_Precinct 2,_Precinct 2,549,190,39,10,6,1,3,677,115,13,7,0,592,164,47,0,650,138,15,0,572,149,2,486,257,34,0,493,205,56,0,529,168,45,0
0,_045,_Precinct 3,_Precinct 3,159,29,12,0,0,0,1,192,9,3,3,0,177,19,7,0,186,17,3,0,157,40,0,146,46,11,0,151,25,20,0,159,24,14,0
0,_045,_Precinct 4,_Precinct 4,513,151,42,1,8,1,17,619,89,24,3,1,539,153,32,0,598,114,19,0,553,118,3,464,234,29,0,482,158,59,1,512,136,50,0
0,_047,_Precinct 01 - American Legion,_Precinct 01 - American Legion,242,17,12,1,2,2,3,263,11,6,3,0,252,19,16,0,263,18,5,2,228,31,0,206,51,14,0,220,23,21,0,215,26,19,0
0,_047,_Precinct 02 - American Legion,_Precinct 02 - American Legion,347,46,13,1,2,0,3,392,27,3,2,0,372,30,15,0,375,37,7,0,313,55,0,304,69,21,0,304,46,26,0,314,42,24,0
0,_047,_Precinct 03 - Gackle School,_Precinct 03 - Gackle School,172,41,8,3,1,0,6,198,27,10,3,0,178,42,13,3,191,32,14,0,171,48,1,155,60,19,0,158,43,26,1,165,35,27,0
0,_047,_Precinct 04 - Lehr Com Cent.,_Precinct 04 - Lehr Com Cent.,57,3,2,0,0,0,0,63,1,1,0,0,58,5,2,0,58,6,0,0,52,8,0,50,12,1,0,51,4,5,0,53,2,5,0
0,_047,_Precinct 05 - Fredonia Mini Ml,_Precinct 05 - Fredonia Mini Ml,70,7,3,0,1,0,2,73,6,1,2,0,69,6,6,0,77,3,2,0,65,7,0,62,12,2,0,65,4,6,0,64,6,5,0
0,_049,_Precinct 16,_Precinct 16,159,14,19,1,2,0,3,180,10,6,7,0,170,16,17,0,176,18,8,0,167,31,0,156,27,17,0,153,30,15,0,160,17,19,0
0,_049,_Precinct 18,_Precinct 18,441,95,34,4,7,0,12,515,70,15,9,0,463,98,38,0,492,93,17,1,436,113,2,392,148,37,0,384,124,51,1,435,93,43,1
0,_049,_Precinct 27,_Precinct 27,134,33,10,4,0,0,2,156,17,5,5,0,145,27,6,0,148,30,6,0,132,36,0,111,48,16,0,111,47,12,0,128,32,12,0
0,_049,_Precinct 41,_Precinct 41,241,34,33,2,1,2,7,273,25,9,10,1,249,39,30,0,269,34,11,3,239,64,1,225,49,32,2,229,40,37,0,232,38,37,0
0,_049,_Precinct 47,_Precinct 47,628,191,63,3,3,1,15,787,101,19,4,2,707,145,44,2,746,145,24,3,677,165,3,600,234,56,2,597,202,67,1,660,168,51,1
0,_049,_Precinct 55,_Precinct 55,138,61,10,3,4,1,2,167,39,9,7,0,152,54,13,1,160,50,9,0,138,47,1,124,74,13,0,125,59,20,0,133,56,18,0
0,_049,_Precinct 58,_Precinct 58,169,32,12,2,0,0,5,198,15,6,4,0,190,24,8,0,193,25,5,2,178,31,0,158,40,14,0,162,32,15,0,169,23,17,0
0,_049,_Precinct 62,_Precinct 62,140,30,8,1,2,0,2,157,19,6,3,0,141,28,8,2,151,32,2,0,131,37,0,123,36,15,0,118,30,25,0,132,25,16,0
0,_051,_Precinct 1-City of Ashley,_Precinct 1-City of Ashley,324,56,17,2,5,0,2,366,30,6,8,0,341,48,18,0,355,46,8,1,323,58,2,305,69,21,0,304,53,27,0,312,45,25,0
0,_051,_Precinct 2-Rural Ashley,_Precinct 2-Rural Ashley,160,35,3,2,3,1,4,181,21,4,2,0,137,47,17,2,166,36,2,1,158,34,0,137,52,7,0,135,41,15,0,151,33,7,0
0,_051,_Precinct 3-Lehr/Rural Lehr,_Precinct 3-Lehr/Rural Lehr,40,23,5,0,0,0,0,61,5,3,0,0,52,14,2,0,57,13,0,1,44,14,0,44,19,1,0,42,16,2,0,42,15,3,0
0,_051,_Precinct 4-City of Wishek,_Precinct 4-City of Wishek,315,82,32,6,3,1,9,429,36,4,2,0,381,63,20,0,398,56,10,1,376,54,0,352,82,21,0,346,69,30,0,366,61,19,1
0,_051,_Precinct 5-Rural Wishek,_Precinct 5-Rural Wishek,120,22,7,0,1,0,1,145,7,2,0,0,132,19,3,0,136,13,5,0,121,20,0,108,36,5,0,107,21,15,0,123,17,6,0
0,_051,_Precinct 6-Zeeland/Rural,_Precinct 6-Zeeland/Rural,141,17,7,0,0,0,0,145,11,3,2,0,137,14,5,0,141,10,3,0,124,18,0,111,29,9,0,120,16,5,0,125,14,6,0
0,_053,_04-01 Four Bears,_04-01 Four Bears,41,183,5,8,1,0,7,85,132,13,5,1,24,213,6,0,61,163,8,2,66,140,2,39,163,25,2,17,217,7,0,39,172,19,1
0,_053,_04-02 Mandaree,_04-02 Mandaree,21,132,2,12,2,1,7,54,104,9,5,0,16,159,4,0,41,120,13,0,41,125,1,28,124,21,0,12,159,6,0,30,128,14,0
0,_053,_39-03 Yellowstone,_39-03 Yellowstone,144,17,3,0,0,0,2,156,7,1,2,0,142,17,3,0,144,13,2,0,133,12,1,122,27,3,0,121,23,4,0,133,14,7,0
0,_053,_39-04 Sioux,_39-04 Sioux,104,13,2,0,2,0,1,109,10,2,1,0,106,11,4,0,107,11,4,0,96,13,0,98,14,7,0,94,15,7,0,97,13,8,0
0,_053,_39-05 Alexander,_39-05 Alexander,342,33,16,0,5,0,7,357,21,14,8,1,341,37,19,3,358,26,18,1,331,44,4,322,31,27,3,314,39,27,3,312,32,30,3
0,_053,_39-06 Arnegard,_39-06 Arnegard,231,15,13,2,1,0,2,239,15,9,1,0,231,22,9,0,237,18,7,0,219,28,0,210,21,18,0,204,25,14,0,209,14,26,0
0,_053,_39-07 Bennie Pierre,_39-07 Bennie Pierre,84,2,5,0,2,0,0,88,2,2,2,0,83,5,4,0,85,6,1,0,79,7,0,75,5,6,0,73,7,4,0,76,6,4,0
0,_053,_39-08 Rhoades,_39-08 Rhoades,157,5,9,1,1,0,2,166,4,3,0,0,150,16,6,0,155,8,10,0,140,23,0,144,7,17,0,141,13,11,0,142,8,15,0
0,_053,_39-09 Ideal/Schafer,_39-09 Ideal/Schafer,1169,98,44,1,8,1,15,1196,65,46,16,1,1163,90,64,2,1225,63,33,1,1124,125,1,1077,108,85,0,1067,119,69,1,1082,83,83,2
0,_053,_39-11 Watford City,_39-11 Watford City,1162,176,62,10,6,1,19,1216,121,37,22,3,1137,157,81,3,1258,108,34,2,1102,175,3,1033,172,108,7,1015,174,104,7,1052,121,112,3
0,_053,_39-12 Blue Buttes,_39-12 Blue Buttes,215,24,11,1,0,0,4,237,13,4,0,0,217,25,7,2,218,27,5,1,207,28,0,203,26,14,0,195,26,19,0,205,23,14,0
0,_055,_LEGISLATIVE 4-McLEAN LESS 0402,_LEGISLATIVE 4-McLEAN LESS 0402,495,119,37,1,3,2,4,568,82,16,8,1,529,114,24,0,549,105,17,1,501,113,3,441,164,41,5,472,135,35,0,499,112,40,1
0,_055,_LEGISLATIVE 8-McLEAN COUNTY,_LEGISLATIVE 8-McLEAN COUNTY,3341,777,216,14,19,3,41,3746,518,88,75,3,3422,718,234,4,3647,642,108,10,3233,847,14,2987,979,297,4,3080,790,333,7,3262,666,296,4
0,_055,_WHITE SHIELD/ZIEGLER RURAL,_WHITE SHIELD/ZIEGLER RURAL,24,185,3,14,2,3,12,77,132,12,9,1,22,216,3,0,43,171,16,1,59,142,2,42,156,24,2,14,215,7,1,33,167,23,1
