IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OH_20201103_GEN_PRE_REP_TRUMP,USA_OH_20201103_GEN_PRE_DEM_BIDEN,USA_OH_20201103_GEN_PRE_LIB_JORGENSEN,USA_OH_20201103_GEN_PRE_GRE_HAWKINS
0,_003,_LIMA 6A,_002ABW,208,266,8,1
0,_003,_LIMA 6B,_002ABX,150,247,6,4
0,_003,_LIMA 6C,_002ABZ,49,386,3,1
0,_003,_LIMA 7A,_002ACD,447,335,6,3
0,_003,_LIMA 7B,_002ACE,350,267,9,4
0,_003,_LIMA 7C,_002ACG,414,283,9,2
0,_003,_AMANDA E,_002ACT,716,125,6,1
0,_003,_AMANDA N,_002ACU,342,70,1,2
0,_003,_AMERICAN A,_002ACW,500,118,7,1
0,_003,_AMERICAN B,_002ACX,350,150,5,1
0,_003,_AMERICAN C,_002ACY,364,132,5,2
0,_003,_AMERICAN D,_002ACZ,207,278,6,4
0,_003,_AMERICAN E,_002ADA,276,153,3,2
0,_003,_AMERICAN F,_002ADB,304,160,3,2
0,_003,_AMERICAN G,_002ADC,519,157,5,2
0,_003,_AMERICAN H,_002ADD,488,156,8,2
0,_003,_AMERICAN I,_002ADE,487,138,6,0
0,_003,_AMERICAN J,_002ADF,477,148,5,2
0,_003,_AMERICAN K,_002ADG,332,167,7,0
0,_003,_AMERICAN L,_002ADI,305,214,5,0
0,_003,_ELIDA A,_002ADQ,414,110,3,1
0,_003,_ELIDA B,_002ADR,460,121,4,3
0,_003,_AUGLAIZE A,_002ADT,487,68,8,1
0,_003,_HARROD,_002ADU,171,23,3,2
0,_003,_AUGLAIZE B,_002ADW,620,117,7,1
0,_003,_BATH A,_002ADY,422,117,3,0
0,_003,_BATH B,_002ADZ,509,82,4,1
0,_003,_BATH C,_002AEA,412,89,3,1
0,_003,_BATH D,_002AEB,456,100,11,2
0,_003,_BATH E,_002AEC,276,97,4,1
0,_003,_BATH F,_002AED,364,99,7,3
0,_003,_BATH G,_002AEE,420,180,8,3
0,_003,_BATH H,_002AEF,455,169,2,3
0,_003,_BATH I,_002AEG,340,103,5,1
0,_003,_JACKSON A,_002AEN,739,117,5,1
0,_003,_LAFAYETTE,_002AEO,139,30,3,0
0,_003,_JACKSON B,_002AEQ,683,110,12,1
0,_003,_MARION A,_002AES,705,107,9,0
0,_003,_MARION B,_002AET,634,128,9,5
0,_003,_CAIRO,_002AEW,193,52,6,1
0,_003,_MONROE E,_002AEX,455,42,4,1
0,_003,_MONROE W,_002AEY,382,57,5,2
0,_003,_PERRY C,_002AEZ,526,107,8,0
0,_003,_PERRY A,_002AFB,401,122,2,1
0,_003,_PERRY B,_002AFC,302,130,3,0
0,_003,_BEAVERDAM,_002AFE,121,19,2,2
0,_003,_RICHLAND A,_002AFF,433,106,14,3
0,_003,_RICHLAND B,_002AFG,434,129,3,1
0,_003,_BLUFFTON A,_002AFI,414,299,9,3
0,_003,_BLUFFTON B,_002AFJ,339,266,8,0
0,_003,_BLUFFTON C,_002AFK,399,211,9,4
0,_003,_SHAWNEE A,_002AFN,422,145,5,1
0,_003,_SHAWNEE B,_002AFO,410,163,7,1
0,_003,_SHAWNEE C,_002AFP,343,121,17,0
0,_003,_SHAWNEE D,_002AFQ,464,189,4,3
0,_003,_SHAWNEE E,_002AFR,363,167,3,1
0,_003,_SHAWNEE F,_002AFS,466,210,8,0
0,_003,_SHAWNEE G,_002AFT,487,192,10,1
0,_003,_SHAWNEE H,_002AFU,430,149,10,1
0,_003,_SHAWNEE I,_002AFV,458,139,6,1
0,_003,_SHAWNEE J,_002AGB,518,189,7,1
0,_003,_SHAWNEE K,_002AGC,470,151,10,0
0,_003,_SHAWNEE L,_002AGD,485,115,4,2
0,_003,_SPENCER A,_002AGI,409,65,7,1
0,_003,_SPENCERVILLE A,_002AGK,399,89,14,2
0,_003,_SPENCERVILLE B,_002AGL,355,72,9,0
0,_003,_SUGAR CREEK,_002AGN,574,109,8,2
0,_005,_ASHLAND CITY 1-A,_003AAA,458,255,7,4
0,_005,_ASHLAND CITY 1-B,_003AAB,470,299,13,4
0,_005,_ASHLAND CITY 1-C,_003AAD,563,242,12,5
0,_005,_ASHLAND CITY 1-D,_003AAF,403,163,8,2
0,_005,_ASHLAND CITY 2-A,_003AAG,493,177,17,0
0,_005,_ASHLAND CITY 2-B,_003AAH,505,253,13,6
0,_005,_ASHLAND CITY 2-C,_003AAJ,494,233,10,2
0,_005,_ASHLAND CITY 3-A,_003AAQ,308,213,12,0
0,_005,_ASHLAND CITY 3-B,_003AAS,426,273,13,3
0,_005,_ASHLAND CITY 3-C,_003AAU,470,240,6,0
0,_005,_ASHLAND CITY 3-D,_003AAV,260,112,11,2
0,_005,_ASHLAND CITY 4-A,_003AAZ,413,130,0,5
0,_005,_ASHLAND CITY 4-B,_003ABB,224,119,6,3
0,_005,_ASHLAND CITY 4-C,_003ABC,436,131,4,0
0,_005,_CLEAR CREEK,_003ABG,807,170,16,5
0,_005,_GREEN TWP #1,_003ABI,636,201,9,2
0,_005,_GREEN TWP #2,_003ABJ,367,111,7,3
