IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OR_20201103_GEN_PRE_DEM_BIDEN,USA_OR_20201103_GEN_PRE_REP_TRUMP,USA_OR_20201103_GEN_PRE_LIB_JORGENSEN,USA_OR_20201103_GEN_PRE_GRE_HAWKINS,USA_OR_20201103_GEN_PRE_PRO_HUNTER,USA_OR_20201103_GEN_PRE_OTH_WRITEIN,USA_OR_20201103_GEN_USS_DEM_MERKLEY,USA_OR_20201103_GEN_USS_REP_PERKINS,USA_OR_20201103_GEN_USS_LIB_DYE,USA_OR_20201103_GEN_USS_GRE_TAHER,USA_OR_20201103_GEN_USS_OTH_WRITEIN,USA_OR_20201103_GEN_ATG_DEM_ROSENBLUM,USA_OR_20201103_GEN_ATG_REP_CROSS,USA_OR_20201103_GEN_ATG_LIB_HEDBOR,USA_OR_20201103_GEN_ATG_OTH_WRITEIN,USA_OR_20201103_GEN_SOS_DEM_FAGAN,USA_OR_20201103_GEN_SOS_REP_THATCHER,USA_OR_20201103_GEN_SOS_LIB_MARKLEY,USA_OR_20201103_GEN_SOS_GRE_PARAVICINI,USA_OR_20201103_GEN_SOS_OTH_WRITEIN,USA_OR_20201103_GEN_TRE_DEM_READ,USA_OR_20201103_GEN_TRE_REB_GUDMAN,USA_OR_20201103_GEN_TRE_IND_HENRY,USA_OR_20201103_GEN_TRE_CON_MARSH,USA_OR_20201103_GEN_TRE_OTH_WRITEIN
0,_Morrow,_Irrigon,_02,428,1256,40,3,0,4,491,1163,29,12,1,445,1170,47,1,392,1212,51,21,1,406,1153,44,65,0
0,_Morrow,_Lexington,_03,55,314,12,0,0,0,67,294,6,2,0,57,292,6,1,53,301,6,3,2,57,279,6,17,0
0,_Morrow,_Ione,_04,87,297,10,1,4,1,111,274,8,1,0,89,286,7,1,71,295,13,2,0,81,287,3,15,0
0,_Morrow,_Heppner/Hardman,_05,242,943,20,3,0,4,297,868,25,8,0,252,883,26,1,214,912,35,12,0,220,862,30,54,0
0,_Multnomah,_2701,_2701,514,107,3,2,1,12,484,135,4,7,5,463,139,7,1,417,161,10,11,8,434,161,10,4,1
0,_Multnomah,_2702,_2702,680,160,16,3,0,12,625,199,14,13,3,608,204,12,3,525,254,25,24,1,554,261,17,6,0
0,_Multnomah,_3101,_3101,1108,249,23,11,1,12,1057,266,36,30,0,1016,307,25,1,921,333,37,64,2,935,339,56,12,0
0,_Multnomah,_3102,_3102,1338,601,36,8,2,8,1294,589,36,35,2,1250,606,37,3,1134,640,50,87,2,1142,626,86,37,1
0,_Multnomah,_3103,_3103,405,197,12,2,1,8,407,184,12,9,1,379,197,16,4,347,210,20,21,0,353,210,22,12,1
0,_Multnomah,_3301,_3301,11673,961,154,74,24,77,11198,1061,181,272,14,10824,1247,223,29,10084,1449,272,602,15,10027,1690,535,78,6
0,_Multnomah,_3303,_3303,3118,635,38,15,4,39,2991,697,30,50,0,2804,800,41,11,2576,906,54,99,10,2579,939,92,19,2
0,_Multnomah,_3304,_3304,515,87,6,3,0,8,496,94,1,12,0,466,104,7,2,429,124,6,30,0,432,127,18,3,0
0,_Multnomah,_3501,_3501,785,194,17,4,3,7,771,188,17,17,0,745,197,15,5,687,216,20,39,3,671,237,38,15,0
0,_Multnomah,_3502,_3502,4134,719,75,23,5,43,4024,734,75,78,3,3850,814,85,14,3631,893,102,166,2,3629,907,186,32,3
