IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KS_20161108_GEN_PRE_DEM_CLINTON,USA_KS_20161108_GEN_PRE_REP_TRUMP,USA_KS_20161108_GEN_PRE_LIB_JOHNSON,USA_KS_20161108_GEN_PRE_GRE_STEIN,USA_KS_20161108_GEN_PRE_OTH_WRITEIN,USA_KS_20161108_GEN_USS_DEM_WIESNER,USA_KS_20161108_GEN_USS_REP_MORAN,USA_KS_20161108_GEN_USS_LIB_GARRARD,USA_KS_20161108_GEN_USS_OTH_WRITEIN
0,_009,_Hoisington Ward 1,_Hoisington Ward 1,45,205,9,7,2,33,213,17,0
0,_009,_Hoisington Ward 2,_Hoisington Ward 2,50,233,10,2,0,35,250,6,0
0,_009,_Hoisington Ward 3,_Hoisington Ward 3,45,209,15,3,0,27,221,16,0
0,_009,_Hoisington Ward 4,_Hoisington Ward 4,27,192,13,3,1,26,191,18,0
0,_009,_Hoisington Ward 4 Exclave,_Hoisington Ward 4 Exclave,0,0,0,0,0,0,0,0,0
0,_009,_Independent Township Voting District,_Independent Township Voting District,41,305,14,9,1,23,334,13,0
0,_009,_Lakin Township Voting District,_Lakin Township Voting District,164,818,30,11,3,121,839,65,0
0,_009,_Liberty Township Voting District,_Liberty Township Voting District,12,98,2,1,0,8,99,4,0
0,_009,_Logan Township Voting District,_Logan Township Voting District,10,68,2,1,1,4,75,4,0
0,_009,_North Homestead Township Voting District,_North Homestead Township Voting District,9,53,7,1,0,12,58,2,0
0,_009,_Pawnee Rock Township Voting District,_Pawnee Rock Township Voting District,34,131,4,3,2,23,134,14,0
0,_009,_South Bend Township Voting District,_South Bend Township Voting District,47,228,8,3,0,35,228,17,0
0,_009,_South Homestead Township Voting District,_South Homestead Township Voting District,13,137,6,1,1,17,131,11,0
0,_009,_Union Township Voting District,_Union Township Voting District,8,44,4,0,0,8,40,7,0
0,_009,_Walnut Township Albert Voting District,_Walnut Township Albert Voting District,10,84,3,3,0,10,83,5,0
0,_009,_Walnut Township Olmitz Voting District,_Walnut Township Olmitz Voting District,14,67,2,3,1,14,64,5,0
0,_009,_Wheatland Township Voting District,_Wheatland Township Voting District,1,26,2,0,0,2,24,4,0
0,_011,_Drywood Township Voting District,_Drywood Township Voting District,29,165,5,3,0,33,158,13,0
0,_011,_Fort Scott Ward 1,_Fort Scott Ward 1,124,215,12,9,1,110,223,23,0
0,_011,_Fort Scott Ward 1 Exclave Colonial,_Fort Scott Ward 1 Exclave Colonial,0,0,0,0,0,0,0,0,0
0,_011,_Fort Scott Ward 1 Exclave Halls,_Fort Scott Ward 1 Exclave Halls,0,0,0,0,0,0,0,0,0
