IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_LA_20201103_GEN_PRE_REP_TRUMP,USA_LA_20201103_GEN_PRE_DEM_BIDEN,USA_LA_20201103_GEN_PRE_LIB_JORGENSEN,USA_LA_20201103_GEN_PRE_BIR_WEST,USA_LA_20201103_GEN_PRE_OTH_OTHER,USA_LA_20201103_GEN_USS_REP_CASSIDY,USA_LA_20201103_GEN_USS_REP_MURPHY,USA_LA_20201103_GEN_USS_DEM_PERKINS,USA_LA_20201103_GEN_USS_DEM_EDWARDS,USA_LA_20201103_GEN_USS_DEM_PIERCE,USA_LA_20201103_GEN_USS_DEM_KNIGHT,USA_LA_20201103_GEN_USS_DEM_WENSTRUP,USA_LA_20201103_GEN_USS_LIB_SIGLER,USA_LA_20201103_GEN_USS_IND_MENDOZA,USA_LA_20201103_GEN_USS_OTH_PRICE,USA_LA_20201103_GEN_USS_GOL_JOHN,USA_LA_20201103_GEN_USS_NON_BILLIOT,USA_LA_20201103_GEN_USS_NON_BOURGEOIS,USA_LA_20201103_GEN_USS_NON_MONTGOMERY,USA_LA_20201103_GEN_USS_NON_DARET_III
0,_071,_8-13,_008-13,13,342,1,1,2,14,2,118,102,27,15,10,0,0,7,0,6,6,3,2
0,_071,_8-14,_008-14,8,421,4,0,2,15,0,175,120,41,17,5,3,0,0,0,4,2,0,3
0,_071,_8-15,_008-15,34,769,3,1,0,25,3,422,170,52,25,7,3,4,2,2,4,9,6,2
0,_071,_8-19,_008-19,34,718,4,4,5,46,2,359,219,52,8,7,3,0,5,0,4,4,6,3
0,_071,_8-20,_008-20,45,330,0,0,2,51,0,181,75,8,8,5,0,2,7,0,4,6,3,1
0,_071,_8-21,_008-21,40,256,3,0,5,41,5,124,45,57,8,7,2,0,2,0,4,2,2,0
0,_071,_8-22,_008-22,53,274,4,0,0,51,0,157,66,25,6,7,3,0,3,0,0,0,0,0
0,_071,_8-23,_008-23,66,297,1,0,2,69,2,210,54,22,4,5,0,2,2,0,2,0,2,0
0,_071,_8-24,_008-24,39,271,12,3,0,37,3,181,64,19,2,2,3,3,2,0,4,4,2,0
0,_071,_8-25,_008-25,55,587,9,1,9,56,2,342,129,46,31,10,3,3,5,0,2,3,2,1
0,_071,_8-26,_008-26,31,385,6,3,0,39,0,184,129,25,6,0,0,3,2,2,4,2,2,0
0,_071,_8-27,_008-27,40,483,0,0,0,41,2,255,125,46,21,2,0,0,2,2,3,9,2,0
0,_071,_8-28,_008-28,72,304,6,3,0,74,3,181,66,25,2,5,7,2,3,2,2,2,2,0
0,_071,_8-30,_008-30,29,642,1,6,3,35,2,243,237,52,25,17,0,2,3,0,4,7,5,1
0,_071,_9-10,_009-10,39,769,0,6,10,37,2,342,186,96,31,20,0,3,7,2,9,15,5,3
0,_071,_9-11,_009-11,21,274,3,4,12,19,2,172,34,68,11,12,2,0,3,0,3,2,0,0
0,_071,_9-12,_009-12,32,418,3,6,2,37,0,284,48,88,11,5,0,2,0,2,2,4,0,0
0,_071,_9-13,_009-13,43,327,1,1,2,39,2,207,45,63,8,10,2,3,0,0,0,2,0,0
0,_071,_9-14,_009-14,13,307,6,0,5,15,3,198,39,54,6,7,5,2,0,2,3,4,0,0
0,_071,_9-15,_009-15,39,485,4,1,5,37,3,380,50,60,15,7,2,2,0,0,3,3,0,0
0,_071,_9-16,_009-16,24,368,6,1,0,32,0,216,61,63,17,5,2,0,2,0,4,2,0,0
0,_071,_9-17,_009-17,10,556,7,3,3,10,2,237,120,49,41,5,2,0,7,0,9,3,3,0
0,_071,_9-19,_009-19,24,523,1,6,3,30,2,293,104,52,21,0,0,3,2,2,9,4,0,0
0,_071,_9-21,_009-21,27,772,3,1,5,22,7,401,191,54,25,10,0,2,5,2,10,9,5,0
0,_071,_9-23,_009-23,6,357,4,3,5,7,0,148,100,30,8,7,3,0,5,0,4,2,2,1
0,_071,_9-25,_009-25,21,812,3,1,7,22,2,321,210,38,31,17,3,5,9,0,16,10,2,7
0,_071,_9-26,_009-26,6,302,0,0,3,12,2,110,95,8,17,2,2,0,9,2,0,3,0,0
0,_071,_9-28,_009-28,10,434,0,1,0,12,2,181,125,27,17,2,2,3,5,2,4,6,2,6
0,_071,_9-29,_009-29,26,155,1,0,7,34,3,71,25,14,4,2,3,0,2,2,3,4,2,0
0,_071,_9-30,_009-30,170,325,12,6,20,198,8,136,102,27,13,5,5,2,0,0,3,10,0,1
0,_071,_9-31,_009-31,6,299,3,3,0,12,0,136,59,22,6,0,3,2,5,0,7,4,0,0
0,_071,_9-32,_009-32,11,94,0,0,0,14,0,41,30,3,0,0,0,0,2,0,0,0,0,0
0,_071,_9-33,_009-33,16,769,1,4,0,30,2,321,242,30,27,22,3,0,9,0,9,3,2,4
0,_071,_9-35,_009-35,3,114,0,3,0,3,0,44,32,11,8,0,0,2,0,0,0,0,0,0
0,_071,_9-36,_009-36,14,511,1,6,2,17,0,231,175,35,17,5,2,0,5,2,4,2,3,1
0,_071,_9-37,_009-37,11,335,0,4,3,14,2,136,109,14,17,10,0,2,2,3,2,9,0,1
0,_071,_9-38,_009-38,14,256,0,0,0,15,2,53,102,16,17,7,0,0,2,0,3,2,3,0
0,_071,_9-39,_009-39,16,533,0,1,0,22,2,246,154,35,25,15,0,0,5,0,3,3,2,1
0,_071,_9-40,_009-40,11,365,0,1,7,15,0,193,100,16,19,2,2,0,2,2,2,6,0,3
0,_071,_9-41,_009-41,148,609,0,6,2,134,3,237,184,33,25,12,0,3,7,3,21,10,0,0
0,_071,_9-42,_009-42,22,871,3,1,2,37,5,311,287,63,27,15,0,0,12,0,12,9,3,0
0,_071,_9-44,_009-44,11,398,1,0,3,14,0,175,134,35,21,0,0,2,9,0,2,2,3,0
0,_071,_9-45,_009-45,439,139,3,0,0,434,5,86,23,3,4,0,2,5,3,3,7,4,2,1
0,_071,_10-11,_010-11,43,513,1,6,5,44,2,267,120,60,13,2,0,2,5,0,9,7,6,1
0,_071,_10-12,_010-12,11,416,0,4,2,17,2,252,64,35,8,7,0,2,2,0,6,4,3,0
0,_071,_10-13,_010-13,14,385,0,1,2,10,0,169,89,38,15,5,0,3,3,2,7,3,1,1
0,_071,_10-14,_010-14,8,368,1,0,2,10,0,181,91,25,13,5,0,2,2,2,2,4,3,1
0,_071,_11-10,_011-10,59,495,3,0,2,59,5,296,84,54,21,10,2,5,5,0,2,2,3,3
0,_071,_11-11,_011-11,24,538,7,1,5,20,7,305,145,22,19,17,0,0,2,0,7,6,3,0
0,_071,_11-12,_011-12,13,454,1,0,0,22,3,193,111,19,17,15,0,2,2,0,4,4,0,0
0,_071,_11-13,_011-13,8,370,0,1,0,10,0,169,86,22,19,10,2,7,0,0,3,2,0,0
0,_071,_11-14,_011-14,13,906,0,1,9,20,3,478,200,63,23,10,2,7,3,2,15,12,5,4
0,_071,_11-17,_011-17,11,604,3,4,9,24,3,261,163,44,19,10,2,0,7,0,10,12,1,0
0,_071,_12-10,_012-10,103,271,4,0,2,128,0,163,48,27,6,0,0,2,0,0,2,2,0,1
0,_071,_12-11,_012-11,67,551,1,0,5,78,5,281,125,52,21,20,3,0,3,0,7,3,0,0
0,_071,_12-12,_012-12,37,324,3,4,0,42,0,139,82,24,13,10,0,0,0,0,0,6,0,0
