IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_SC_20201103_GEN_PRE_REP_TRUMP,USA_SC_20201103_GEN_PRE_DEM_BIDEN,USA_SC_20201103_GEN_PRE_LIB_JORGENSEN,USA_SC_20201103_GEN_PRE_GRE_HAWKINS,USA_SC_20201103_GEN_PRE_ALL_FUENTE,USA_SC_20201103_GEN_USS_REP_GRAHAM,USA_SC_20201103_GEN_USS_DEM_HARRISON,USA_SC_20201103_GEN_USS_CON_BLEDSOE,USA_SC_20201103_GEN_USS_OTH_WRITEIN
0,_075,_Limestone 1,_136,340,856,5,2,0,329,869,5,1
0,_075,_Neeses-Livingston,_137,524,253,2,1,0,505,263,12,0
0,_075,_Nix,_138,10,722,2,2,1,5,732,1,0
0,_075,_North 2,_139,495,413,1,1,1,484,420,8,0
0,_075,_North 1,_140,401,517,1,2,0,397,523,4,0
0,_075,_Norway,_141,360,569,6,2,1,353,580,8,0
0,_075,_Bolentown,_142,472,413,6,2,4,454,428,13,1
0,_075,_Providence,_143,203,589,4,2,0,199,596,3,0
0,_075,_Rowesville,_144,184,215,4,2,0,171,227,9,1
0,_075,_Santee 1,_145,652,490,7,0,0,641,497,10,0
0,_075,_Santee 2,_146,62,787,3,7,0,57,797,4,0
0,_075,_Springfield,_147,392,506,4,1,0,388,512,5,0
0,_075,_Vance,_148,298,850,2,2,0,297,855,5,0
0,_075,_Whittaker,_149,93,699,3,2,0,83,711,2,0
0,_075,_Limestone 2,_150,349,915,9,1,3,342,926,11,1
0,_075,_Pine Hill,_151,318,443,4,3,0,306,453,11,0
0,_075,_Cordova 2,_152,379,628,2,3,0,366,636,10,0
0,_075,_Elloree 1,_154,312,361,3,0,0,301,367,10,1
0,_077,_Stone Church,_101,385,493,29,3,3,416,491,10,0
0,_077,_University,_102,203,245,13,5,0,227,236,5,1
0,_077,_Morrison,_103,427,449,26,1,1,452,446,10,1
0,_077,_Abel,_104,231,377,11,4,0,236,380,7,0
0,_077,_Calhoun,_105,266,443,18,1,2,278,443,6,2
0,_077,_Clemson,_106,761,720,35,6,2,834,688,7,1
0,_077,_Issaqueena,_107,259,317,18,6,0,283,319,4,1
0,_077,_West Central,_108,289,299,18,4,0,280,317,15,0
0,_077,_North Central,_109,590,270,16,4,1,586,276,15,5
0,_077,_Pike,_110,433,328,18,3,0,445,331,10,2
0,_077,_Lawrence Chapel,_111,709,272,15,3,0,732,264,9,1
0,_077,_Norris,_112,782,140,9,3,1,755,157,23,0
0,_077,_Six Mile,_113,1043,138,14,1,0,1033,145,19,1
0,_077,_Six Mile Mountain,_114,965,199,13,5,0,955,210,17,0
0,_077,_Praters Creek,_115,720,75,4,1,0,704,83,9,2
0,_077,_Mountain View,_116,1086,319,22,2,1,1112,293,21,1
0,_077,_Albert R. Lewis,_117,937,133,2,2,0,912,133,23,1
0,_077,_Holly Springs,_118,996,244,12,4,0,990,247,18,0
0,_077,_Pumpkintown,_119,1068,245,11,2,2,1044,258,24,2
0,_077,_Griffin,_120,1069,156,28,2,0,1062,161,29,2
0,_077,_North Pickens,_121,869,137,12,2,0,852,144,21,1
